word,labels
policy,Not determinable
foundations,Not determinable
workforce,Not determinable
environmental,Not determinable
introduction,Not determinable
change,Not determinable
function,Data Representation and Transformation
planning,Not determinable
security,Science about Data Science
acquisition,"Data Gathering, Preparation and Exploration"
python,Computing with Data
civic,Not determinable
msba,Not determinable
opinion,Not determinable
numerical,Data Representation and Transformation
disciplinerelated,Not determinable
foundational,Not determinable
softs,Not determinable
projects,Not determinable
support,Not determinable
methods,Not determinable
spread,Not determinable
machine,"Data Modeling; Data Gathering, Preparation and Exploration"
c,Computing with Data
products,Not determinable
spatial,Not determinable
data,"Data Gathering, Preparation and Exploration; Data Representation and Transformation; Computing with Data; Data Modeling; Data Visualization and Presentation"
tools,Computing with Data
markets,Not determinable
multivariate,Data Modeling
political,Not determinable
sports,Not determinable
implementing,Not determinable
matrix,Data Representation and Transformation
value,Not determinable
society,Not determinable
series,Not determinable
egovernance,Not determinable
gis,Not determinable
bootcamp,Not determinable
physiological,Not determinable
communications,Not determinable
topics,Not determinable
datadriven,Not determinable
java,Computing with Data
essentials,Not determinable
operationalizing,Not determinable
information,Computing with Data
networks,Data Modeling
vision,Computing with Data; Data Modeling
generation,Not determinable
innovation,Not determinable
bioinspired,Not determinable
accelerated,Not determinable
concepts,Not determinable
distributed,Computing with Data
algorithms,Data Representation and Transformation
microeconomics,Not determinable
msbfa,Not determinable
era,Not determinable
use,Not determinable
concentration,Not determinable
scalable,Computing with Data
deep,Not determinable
major,Not determinable
precision,Not determinable
presenting,Data Visualization and Presentation
domains,Not determinable
managerial,Not determinable
linear,Data Representation and Transformation; Data Modeling
cases,Not determinable
handson,Not determinable
strategy,Not determinable
experimental,"Data Gathering, Preparation and Exploration"
practicum,Not determinable
creation,"Data Gathering, Preparation and Exploration"
optimization,Data Representation and Transformation
education,Not determinable
public,Not determinable
electrical,Not determinable
career,Not determinable
reporting,Data Visualization and Presentation
new,Not determinable
random,Data Representation and Transformation
collection,"Data Gathering, Preparation and Exploration"
large,Not determinable
techniques,Not determinable
survey,"Data Gathering, Preparation and Exploration"
strategies,Not determinable
visualization,Data Visualization and Presentation
algorithm,Data Representation and Transformation
insurance,Not determinable
leadership,Not determinable
teams,Not determinable
curriculum,Not determinable
imaging,"Data Representation and Transformation; Data Gathering, Preparation and Exploration"
statistical,Data Representation and Transformation; Data Modeling
media,Not determinable
knowledge,"Data Gathering, Preparation and Exploration"
practice,Not determinable
image,"Data Gathering, Preparation and Exploration; Data Representation and Transformation"
r,Computing with Data
generating,"Data Gathering, Preparation and Exploration"
customer,Not determinable
regression,Data Modeling
aspects,Not determinable
robotics,Computing with Data
video,"Data Gathering, Preparation and Exploration"
ebusiness,Not determinable
intermediate,Not determinable
evaluation,Not determinable
protection,Science about Data Science
network,Data Modeling; Computing with Data
scientific,Not determinable
qualitative,Not determinable
corporate,Not determinable
national,Not determinable
discrete,Data Representation and Transformation
cities,Not determinable
seminar,Not determinable
storytelling,Data Visualization and Presentation
intro,Not determinable
medical,Not determinable
stat,Data Representation and Transformation; Data Modeling
frameworks,Science about Data Science
disruptive,Not determinable
utilizing,Not determinable
signal,Data Representation and Transformation
starts,Not determinable
economic,Not determinable
sql,Computing with Data
nlp,Data Modeling; Computing with Data
matrices,Data Representation and Transformation
electronic,Computing with Data
measurement,Not determinable
multi,Not determinable
legal,Not determinable
cyber,Computing with Data
making,Not determinable
etiquettes,Not determinable
experimentation,Data Modeling
scaling,Computing with Data
decisionmaking,"Data Gathering, Preparation and Exploration; Data Representation and Transformation; Computing with Data; Data Modeling; Data Visualization and Presentation"
text,Data Representation and Transformation
sociotechnical,Not determinable
land,Not determinable
commerce,Not determinable
ipr,Science about Data Science
efficient,Computing with Data
error,Not determinable
describing,Data Visualization and Presentation
analytics’,"Data Gathering, Preparation and Exploration; Data Representation and Transformation; Computing with Data; Data Modeling; Data Visualization and Presentation"
remote,Not determinable
humancentered,Not determinable
managers,Not determinable
manipulation,"Data Gathering, Preparation and Exploration"
hrm,Not determinable
natural,Not determinable
domain,Not determinable
chain,Not determinable
signals,Data Representation and Transformation
informatics,Computing with Data
rprogramming,Computing with Data
maths,Data Representation and Transformation
behavioral,Not determinable
iii,Not determinable
databases,Data Representation and Transformation
process,Science about Data Science
venture,Not determinable
sustainability,Not determinable
accounting,Not determinable
hadoop,Computing with Data
computation,Computing with Data
fundamentals,Not determinable
unsupervised,Data Modeling
bigdata,"Data Gathering, Preparation and Exploration; Data Representation and Transformation; Computing with Data; Data Modeling; Data Visualization and Presentation"
applied,Not determinable
mathematics,Data Representation and Transformation
stochastic,Data Representation and Transformation; Data Modeling
advance,Not determinable
sampling,"Data Gathering, Preparation and Exploration"
relational,Data Representation and Transformation
approaches,Not determinable
design,Not determinable
quantitative,Data Representation and Transformation; Data Modeling
speech,Not determinable
evidencebased,Data Modeling
action,Not determinable
basic,Not determinable
reinforcement,Data Modeling
dot,Not determinable
computing,Computing with Data
relations,Data Representation and Transformation
course,Not determinable
finance,Not determinable
practices,Science about Data Science
program,Computing with Data
intlelligence,Data Modeling
analysts,"Data Gathering, Preparation and Exploration; Data Representation and Transformation; Computing with Data; Data Modeling; Data Visualization and Presentation"
warehouse,"Data Gathering, Preparation and Exploration"
core,Not determinable
statement,Not determinable
resarch,Not determinable
privacy,Science about Data Science
democratizing,Not determinable
biomedical,Not determinable
recognition,Data Modeling
processing,"Data Gathering, Preparation and Exploration"
nosql,Data Representation and Transformation
mis,Not determinable
modeling,Data Modeling
resource,Not determinable
