title,institute,department
MS in Data Science,George Washington University,Columbian College of Arts and Sciences
Data Analytics (MSc),George Washington University,School of Engineering and Applied Sciences
MS in Data Science,University of San Francisco,College of Arts and Sciences
Master of Science in Business Analytics,Georgetown University,Professional Studies
Data Science MS,Rochester Institute of Technology USA,Masters Programs
Data Visualisation,The New School,Parsons School of Design
MS in Human Genetics and Genomic Data Analytics,Keck Graduate Institute,School of Pharmacy and Health Sciences
Data Science - MS,New York Institute of Technology,Engineering and Computer Science
Business Analytics - Master of Science (MS),University of Colorado Boulder,Leeds School of Business
MS in Data Analytics and Policy and Certificate in Intelligence,Johns Hopkins University,Advanced Academic Programs
MS in Biostatistics,George Washington University,Columbian College of Arts and Sciences
MS in Statistics,George Washington University,Columbian College of Arts and Sciences
Business Analytics MS,Rochester Institute of Technology USA,Masters Programs
Applied Statistics MS,Rochester Institute of Technology USA,Masters Programs
Behavior Analysis (MS),Simmons University,Graduate Studies
