title,url,school,degree,pace,duration,languages,based,price
Master of Engineering in Logistics and Supply Chain Management (ZLOGb),https://www.masterstudies.com/Master-of-Engineering-in-Logistics-and-Supply-Chain-Management-(ZLOGb)/Spain/ZLC/,Zaragoza Logistics Center,Master,Full-time,5Months,English,Online & Campus Combined,
MS in Information Systems,https://www.masterstudies.com/MS-in-Information-Systems/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time,9-16Months,English,Campus,
Master of Arts in Asian Studies,https://www.masterstudies.com/Master-of-Arts-in-Asian-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
Master of Science in Athletic Training,https://www.masterstudies.com/Master-of-Science-in-Athletic-Training/USA/Kings-College-Pennsylvania-USA/,"King's College - Pennsylvania, USA",MSc,Full-time,2Years,English,Campus,
MS Analytics,https://www.masterstudies.com/MS-Analytics/USA/Kogod-School-of-Business-American-University/,"Kogod School of Business, American University",MSc,Full-time                                                     Part-time,1-3Years,English,Campus Online,
MA School Counseling,https://www.masterstudies.com/MA-School-Counseling/USA/USF-Education/,University of San Francisco - School of Education,Master,Full-time,,English,Campus,
MS in Supply Chain Management,https://www.masterstudies.com/MS-in-Supply-Chain-Management/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time,10-16Months,English,Campus,
MS in Accounting,https://www.masterstudies.com/MS-in-Accounting/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time                                                     Part-time,10-16Months,English,Campus,
Master of Finance,https://www.masterstudies.com/Master-of-Finance/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,Master,Full-time,9-20Months,English,Campus,
MS in Marketing Analytics,https://www.masterstudies.com/MS-in-Marketing-Analytics/USA/Robert-H.-Smith-School-of-Business/,University of Maryland College Park,MSc,Full-time,10-16Months,English,Campus,
Master of Arts in European and Eurasian Studies,https://www.masterstudies.com/Master-of-Arts-in-European-and-Eurasian-Studies/USA/The-George-Washington-University-Elliott-School-Of-International-Affairs/,The George Washington University - Elliott School Of International Affairs,MA,Full-time,2Years,English,Campus,
