url,compulsory course,course outcome or overview,topics covered
http://cds.iisc.ac.in/admissions/course-degrees/,Introduction to Scalable Systems,"This course covers computer systems topics that are essential for students engaging in computational and data sciences. It introduces topics on architecture, OS and data structures that may be new to students without a degree in Computer Science. Then it moves to more advanced topics on tree/graph data structures, HPC/GPGPU programming and Big Data platforms.","Architecture: computer organization, single-core optimizations including exploiting cache hierarchy and vectorization, parallel architectures including multi-core, shared memory, distributed memory and GPU architectures; Algorithms and Data Structures: algorithmic analysis, overview of trees and graphs, algorithmic strategies, concurrent data structures; Parallelization Principles: motivation, challenges, metrics, parallelization steps, data distribution, PRAM model; Parallel Programming Models and Languages: OpenMP, MPI, CUDA; Distributed Computing: Commodity cluster and cloud computing; Distributed Programming: MapReduce/Hadoop model."
http://cds.iisc.ac.in/admissions/course-degrees/,Numerical Linear Algebra,,"Matrix and vector norms, floating points arithmetic, forward and backward stability of algorithms, conditioning of a problem, perturbation analysis, algorithmic efficiency, Structured matrices, Solving linear systems, Gaussian elimination, LU factorization, Pivoting, Cholesky decomposition, Iterative refinement, QR factorization, Gram-Schmidt orthogonalization, Projections, Householder reflectors, Givens rotation, Singular Value Decomposition, Rank and matrix approximations, image compression using SVD, Least squares and least norm solution of linear systems, pseudoinverse, normal equations, Eigenvalue problems, Gershgorin theorem, Similarity transform, Eigenvalue & eigenvector computations and sensitivity, Power method, Schur decomposition, Jordan canonical form, QR iteration with & without shifts, Hessenberg transformation, Rayleigh quotient, Symmetric eigenvalue problem, Jacobi method, Divide and Conquer, Computing the Singular Value Decomposition, Golub-Kahan-Reinsch algorithm, Chan SVD algorithm, Generalized SVD, Generalized and Quadratic eigenvalue problems, generalized Schur decomposition (QZ decomposition), Iterative methods for large linear systems: Jacobi, Gauss-Seidel and SOR, convergence of iterative algorithms, Krylov subspace methods: Lanczos, Arnoldi, MINRES, GMRES, Conjugate Gradient and QMR, Pre-conditioners, Approximating eigenvalues and eigenvectors."
http://cds.iisc.ac.in/admissions/course-degrees/,Numerical Methods,,"Root finding: Functions and polynomials, zeros of a function, roots of a nonlinear equation, bracketing, bisection, secant, and Newton-Raphson methods. Interpolation, splines, polynomial fits, Chebyshev approximation. Numerical Integration and Differentiation: Evaluation of integrals, elementary analytical methods, trapezoidal and Simpson’s rules, Romberg integration, Gaussian quadrature and orthogonal polynomials, multidimensional integrals, summation of series, Euler-Maclaurin summation formula, numerical differentiation and estimation of errors. Optimization: Extremization of functions, simple search, Nelder-Mead simplex method, Powell’s method, gradient-based methods, simulated annealing. Complex analysis: Complex numbers, functions of a complex variable, analytic functions, conformal mapping, Cauchy’s theorem. Calculus of residues. Fourier and Laplace Transforms, Discrete Fourier Transform, z transform, Fast Fourier Transform (FFT), multidimensional FFT, basics of numerical optimization."
http://cds.iisc.ac.in/admissions/course-degrees/,Data Analysis and Visualization,,"Data pre-processing, data representation, data reconstruction, machine learning for data processing, convolutional neural networks,  visualization pipeline, isosurfaces, volume rendering, vector field visualization, applications to biological and medical data, OpenGL, visualization toolkit, linear models, principal components, clustering, multidimensional scaling, information visualization."
http://cds.iisc.ac.in/admissions/course-degrees/,Research Methods - Softs Skills Course,This course will develop the soft skills required for the CDS students.,"Seminar attendance, literature review, technical writing (reading, writing, reviewing), technical presentation, CV/resume preparation, grant writing, Intellectual property generation (patenting), incubation/start-up opportunities, and academia/industry job search"
https://eecs.iisc.ac.in/mtechai/,Data Structures and Algorithms,,
https://eecs.iisc.ac.in/mtechai/,Stochastic Models and Applications,,
https://eecs.iisc.ac.in/mtechai/,Random Processes,,
https://eecs.iisc.ac.in/mtechai/,Computational Linear Algebra,,
https://eecs.iisc.ac.in/mtechai/,Computational Methods of Optimization,,
https://eecs.iisc.ac.in/mtechai/,Pattern Recognition and Neural Networks,,
https://eecs.iisc.ac.in/mtechai/,Foundations of Machine Learning,,
https://eecs.iisc.ac.in/mtechai/,Machine Learning,,
https://www.nitt.edu/home/academics/departments/ca/programmes/mtech/,Statistical Computing,"Implement statistical analysis techniques for solving practical problems.
Perform statistical analysis on variety of data.
Perform appropriate statistical tests using R and visualize the outcome.","Probability Theory: Sample Spaces- Events - Axioms – Counting - Conditional Probability and Bayes’ Theorem – The Binomial Theorem – Random variable and distributions : Mean and Variance of a Random variable-Binomial-Poisson-Exponential and Normal distributions. Curve Fitting and Principles of Least Squares- Regression and correlation. Sampling Distributions & Descriptive Statistics: The Central Limit Theorem, distributions of the sample mean and the sample variance for a normal population, Sampling distributions (Chi-Square, t, F, z). Test of Hypothesis- Testing for Attributes – Mean of Normal Population – One-tailed and two-tailed tests, F-test and Chi-Square test - - Analysis of variance ANOVA – One way and two way classifications. Tabular data- Power and the computation of sample size- Advanced data handling_x0002_Multiple regression- Linear models- Logistic regression- Rates and Poisson regression_x0002_Nonlinear curve fitting. Density Estimation- Recursive Partitioning- Smoothers and Generalised Additive Models - Survivals Analysis- Analysing Longitudinal Data- Simultaneous Inference and Multiple Comparisons- Meta-Analysis- Principal Component Analysis- Multidimensional Scaling_x0002_Cluster Analysis. Introduction to R- Packages- Scientific Calculator- Inspecting Variables- Vectors_x0002_Matrices and Arrays- Lists and Data Frames- Functions- Strings and Factors- Flow Control and Loops- Advanced Looping- Date and Times. Introduction to Python_x0002_Packages- Fundamentals of Python- Inserting and Exporting Data- Data Cleansing_x0002_Checking and Filling Missing Data- Merging Data- Operations- Joins."
https://www.nitt.edu/home/academics/departments/ca/programmes/mtech/,Big Data Analytics,Work with big data platform and explore the big data analytics techniques business applications.  Design efficient algorithms for mining the data from large volumes.  Analyze the HADOOP and Map Reduce technologies associated with big data analytics.  Explore on Big Data applications Using Pig and Hive.  Understand the fundamentals of various big data analytics techniques.  Build a complete business data analytics solutio,Introduction to big data : Introduction to Big Data Platform – Challenges of Conventional Systems - Intelligent data analysis – Nature of Data - Analytic Processes and Tools - Analysis vs Reporting. Mining data streams : Introduction To Streams Concepts – Stream Data Model and Architecture - Stream Computing - Sampling Data in a Stream – Filtering Streams – Counting Distinct Elements in a Stream – Estimating Moments – Counting Oneness in a Window – Decaying Window - Real time Analytics Platform(RTAP) Applications - Case Studies - Real Time Sentiment Analysis- Stock Market Predictions. Hadoop: History of Hadoop- the Hadoop Distributed File System – Components of Hadoop Analysing the Data with Hadoop- Scaling Out- Hadoop Streaming- Design of HDFS-Java interfaces to HDFS Basics- Developing a Map Reduce Application-How Map Reduce Works-Anatomy of a Map Reduce Job run-Failures-Job Scheduling-Shuffle and Sort – Task execution - Map Reduce Types and Formats- Map Reduce Features_x0002_Hadoop environment. Frameworks: Applications on Big Data Using Pig and Hive – Data processing operators in Pig – Hive services – HiveQL – Querying Data in Hive - fundamentals of HBase and ZooKeeper - IBM InfoSphere BigInsights and Streams. Predictive Analytics- Simple linear regression- Multiple linear regression- Interpretation5 of regression coefficients. Visualizations - Visual data analysis techniques- interaction techniques - Systems and applications.
https://www.nitt.edu/home/academics/departments/ca/programmes/mtech/,Machine Learning Techniques,Select real-world applications that needs machine learning based solutions. Implement and apply machine learning algorithms.  Select appropriate algorithms for solving a particular group of real-world problems. Recognize the characteristics of machine learning techniques that are useful to solve real-world problems.,Introduction- overview of machine learning- Different forms of learning- Generative6 learning- Gaussian parameter estimation- maximum likelihood estimation- MAP estimation- Bayesian estimation- bias and variance of estimators- missing and noisy features- nonparametric density estimation- applications- software tools. Classification Methods-Nearest neighbour- Decision trees- Linear Discriminant Analysis - Logistic regression-Perceptrons- large margin classification- Kernel methods- Support Vector Machines. Classification and Regression Trees. Graphical and sequential models- Bayesian networks- conditional independence_x0002_Markov random fields- inference in graphical models- Belief propagation- Markov models- Hidden Markov models- decoding states from observations- learning HMM parameters. Clustering Methods-Partitioned based Clustering - K-means- K-medoids; Hierarchical Clustering - Agglomerative- Divisive- Distance measures; Density based Clustering - DBScan; Spectral clustering. Neural networks- the perceptron algorithm- multilayer perceptron’s- back propagation_x0002_nonlinear regression- multiclass discrimination- training procedures- localized network structure- dimensionality reduction interpretation.
https://www.nitt.edu/home/academics/departments/ca/programmes/mtech/,Big Data Management and Data Analytics Lab,"Preparing for data summarization, query, and analysis.  Applying data modelling techniques to large data sets  Creating applications for Big Data analytics  Building a complete business data analytic solution",
