url,compulsory course,course outcome or overview,topics covered
https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science,Systems Development for Computational Science,"This is a project-based course emphasizing designing, building, testing, maintaining and modifying software for scientific computing. Students will work in groups on a number of projects, ranging from small data-transformation utilities to large-scale systems. Students will learn to use a variety of tools and languages, as well as various techniques for organizing teams. Most important, students will learn to fit tools and approaches to the problem being solved.",
https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science,Introduction to Data Science,"Data Science 1 is the first half of a one-year introduction to data science. The course will focus on the analysis of messy, real life data to perform predictions using statistical and machine learning methods. Material covered will integrate the five key facets of an investigation using data: (1) data collection - data wrangling, cleaning, and sampling to get a suitable data set;  (2) data management - accessing data quickly and reliably; (3) exploratory data analysis – generating hypotheses and building intuition; (4) prediction or statistical learning; and (5) communication – summarizing results through visualization, stories, and interpretable summaries. Part one of a two part series. The curriculum for this course builds throughout the academic year. Students are strongly encouraged to enroll in both the fall and spring course within the same academic year. Part one of a two part series.",
https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science,Advanced Topics in Data Science,"Data Science 2 is the second half of a one-year introduction to data science. Building upon the material in Data Science 1, the course introduces advanced methods for data wrangling, data visualization, and statistical modeling and prediction. Topics include big data and database management, interactive visualizations, nonlinear statistical models, and deep learning. Part two of a two part series. The curriculum for this course builds throughout the academic year. Students are strongly encouraged to enroll in both the fall and spring course within the same academic year. Part two of a two part series.",
https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science,Critical Thinking in Data Science,"This course examines the wide-ranging impact data science has on the world and how to think critically about issues of fairness, privacy, ethics, and bias while building algorithms and predictive models that get deployed in the form of products, policy and scientific research. Topics will include algorithmic accountability and discriminatory algorithms, black box algorithms, data privacy and security, ethical frameworks; and experimental and product design. We will work through case studies in a variety of contexts including media, tech and sharing economy platforms; medicine and public health; data science for social good, and politics. We will look at the underlying machine learning algorithms, statistical models, code and data. Threads of history, philosophy, business models and strategy; and regulatory and policy issues will be woven throughout the course.",
https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science,"Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference, and Optimization",,
https://ed.stanford.edu/academics/masters/ed-data-science,Education data science seminar,"Each quarter students enroll in a one-unit seminar designed to introduce emerging topics in the field of education data science, with an ongoing discussion of ethics. Guest speakers offer students an opportunity to discuss contemporary challenges and innovations with leaders in the field. The seminar also brings faculty and students together to create a scholarly community in support of the work. In the second year of the program, seminar sessions focus on the capstone project.",
https://ed.stanford.edu/academics/masters/ed-data-science,Data Processing,"Quantitative data require considerable work before they are ready to be analyzed: they are often messy, incomplete and potentially biased. This course is designed to help you thoughtfully collect, manage, clean and represent data so it can offer substantive information researchers can act upon. In our weekly sessions you will take a critical and reflective approach to these tasks and learn the technical skills needed to get your data into shape. Education and social science datasets will be our focus.",
https://ed.stanford.edu/academics/masters/ed-data-science,Machine Learning,"This course centers on the question of how you can use various data science techniques to understand social phenomena. Applied to education and social science topics, the course will introduce you to supervised and unsupervised machine learning algorithms, new data, and provide you the skills to thoughtfully evaluate and assess machine learning performance and implications.",
https://ed.stanford.edu/academics/masters/ed-data-science,Introduction to Statistical Methods in Education,"Basic techniques in descriptive and inferential statistics for educational research will be covered with an emphasis on rigorous preparation for intermediate and advanced courses. Topics include central tendency, variance, probability, distributions, confidence interval, t-test, F-test, correlation, regression, and analysis of variance. Non-parametric statistics and graphical principles for data representation will also be addressed. Students will also be introduced to STATA in preparation for subsequent higher level courses.",
https://ed.stanford.edu/academics/masters/ed-data-science,Statistical Analysis in Education,"Basic regression, a widely used data-analytic procedure, including multiple and curvilinear regression, regression diagnostics, analysis of residuals and model selection, logistic regression. Proficiency with statistical computer packages.",
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Introduction to Statistical Inference,,"Modern statistical concepts and procedures derived from a mathematical framework. Statistical inference, decision theory; point and interval estimation, tests of hypotheses; Neyman-Pearson theory. Bayesian analysis; maximum likelihood, large sample theory."
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Theory of Statistics I,,
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Introduction to Regression Models and Analysis of Variance,,Modeling and interpretation of observational and experimental data using linear and nonlinear regression methods. Model building and selection methods. Multivariable analysis. Fixed and random effects models. Experimental design. 
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Applied Statistics I,,"Statistics of real valued responses. Review of multivariate normal distribution theory. Univariate regression. Multiple regression. Constructing features from predictors. Geometry and algebra of least squares: subspaces, projections, normal equations, orthogonality, rank deficiency, Gauss-Markov. Gram-Schmidt, the QR decomposition and the SVD. Interpreting coefficients. Collinearity. Dependence and heteroscedasticity. Fits and the hat matrix. Model diagnostics. Model selection, Cp/AIC and crossvalidation, stepwise, lasso. Multiple comparisons. ANOVA, fixed and random effects. Use of bootstrap and permutations. Emphasis on problem sets involving substantive computations with data sets."
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Modern Applied Statistics: Learning,,"Overview of supervised learning. Linear regression and related methods. Model selection, least angle regression and the lasso, stepwise methods. Classification. Linear discriminant analysis, logistic regression, and support vector machines (SVMs). Basis expansions, splines and regularization. Kernel methods. Generalized additive models. Kernel smoothing. Gaussian mixtures and the EM algorithm. Model assessment and selection: crossvalidation and the bootstrap. Pathwise coordinate descent. Sparse graphical models."
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Numerical Linear Algebra,,"Solution of linear systems, accuracy, stability, LU, Cholesky, QR, least squares problems, singular value decomposition, eigenvalue computation, iterative methods, Krylov subspace, Lanczos and Arnoldi processes, conjugate gradient, GMRES, direct methods for sparse matrices. "
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Stochastic Methods in Engineering,,"The basic limit theorems of probability theory and their application to maximum likelihood estimation. Basic Monte Carlo methods and importance sampling. Markov chains and processes, random walks, basic ergodic theory and its application to parameter estimation. Discrete time stochastic control and Bayesian filtering. Diffusion approximations, Brownian motion and an introduction to stochastic differential equations. Examples and problems from various applied areas. "
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Software Development and Scientific Computing,[Group of courses to choose from],
https://statistics.stanford.edu/academic-programs/graduate-programs/ms-statistics-data-science,Machine Learning Methods & Applications,[Group of courses to choose from],
https://mitsloan.mit.edu/master-of-business-analytics,Analytics Edge,"Examines how data analytics is used to transform businesses and industries, using examples and case studies in e-commerce, healthcare, social media, high technology, sports, the internet, and beyond. ",
https://mitsloan.mit.edu/master-of-business-analytics,Optimization Methods,"Introduces the principal algorithms for linear, network, discrete, robust, nonlinear, and dynamic optimization. Emphasizes methodology and the underlying mathematical structures",
https://mitsloan.mit.edu/master-of-business-analytics,Analytics Lab,"Student teams design and deliver a project based on the use of analytics, machine learning, large data sets, or other digital innovations to create or transform a business or other organization.Culminates with presentation of results to an audience that includes IT experts, entrepreneurs, and executives.",
https://mitsloan.mit.edu/master-of-business-analytics,From Analytics to Action," Develops appreciation for organizational dynamics and competence in navigating social networks, working in a team, demystifying rewards and incentives, leveraging the crowd, understanding change initiatives, and making sound decisions.",
https://mitsloan.mit.edu/master-of-business-analytics,Communicating with Data,Focuses on structuring the oral and visual communication of data. Introduces these concepts and a methodology of self-reflection to help one accelerate his or her life-long learning process. ,
https://mitsloan.mit.edu/master-of-business-analytics,Ethics and Data Privacy,,
https://mitsloan.mit.edu/master-of-business-analytics,Communication and Storytelling Workshop,"This course will equip you with the strategies, tactics, and tools to use quantitative information to inform and persuade others.",
https://sps.columbia.edu/academics/masters/applied-analytics,Applied Analytics in the Organizational Context,"Applied analytics is about the strategic use of data and analytics to inform decisions within an operating environment. The use of analytics is rapidly becoming ubiquitous across all organizational functions. This course helps students understand how data and analytics are used across different functions to inform decisions that impact the organization. As such, it is the introductory course to the professional practice of applied analytics and the first course in the leadership sequence. The course focuses on data and analytics within operational functions of different kinds of organizations across a range of industry sectors, and the overall ecosystem within which they operate. Students will also learn about the broader context—economic, technological, social, and demographic, and how these trends are influencing the use of analytics. Students learn how data and analytics are used to understand how an organization is currently performing, and how data and analytics can be used to inform future actions to optimize the performance of an organization. The goal is to introduce students to the professional practice of applied analytics, focusing on how analytics can inform a wide range of operational decisions within an organization.",
https://sps.columbia.edu/academics/masters/applied-analytics,Applied Analytics Frameworks and Methods I,"The world is generating data at an ever faster pace, including through business transactions, online searches, social media activities, and a variety of sensors. The ready availability of this unprecedented amount of data creates opportunities to predict outcomes and explain phenomena across a wide range of domains from medicine to business to even space exploration. Supervised learning techniques are being extensively used to make useful predictions and generate insights to tackle problems. These predictive analysis techniques are the focus of this course. As the starting point of the two-part Frameworks and Methods sequence, the course guides students through the data-wrangling process, starting with data exploration and other foundational approaches. The course then covers an array of supervised learning techniques including linear regression, decision trees, and support vector machines. Students also have the opportunity to challenge themselves in applying and combining the techniques they have learned through a predictive analytics competition.",
https://sps.columbia.edu/academics/masters/applied-analytics,Research Design,"Organizations need quantitative analysis to solve complex problems and make consequential choices. Research design provides both a coherent framework for collecting relevant evidence and strategies for evaluating that evidence. Knowledge of research design enables organizations to make adaptive and effective use of quantitative analysis in solving problems and making choices. This course serves as a foundational course in the Applied Analytics program. In this course, you will approach problems as methodological thinkers: you will assess whether the organization is asking the right questions, choosing a relevant design, gathering appropriate and meaningful evidence, and using the appropriate statistical analysis to answer those questions.",
https://sps.columbia.edu/academics/masters/applied-analytics,Storytelling with Data,"Data does not have meaning without context and interpretation. Being able to effectively present data analytics in a compelling narrative to a particular audience will differentiate you from others in your field. This course takes students through the lifecycle of an analytical project from a communication perspective. Students develop written, verbal, and visual deliverables for three major audiences: data experts (e.g., head of analytics); consumer and presentation experts (e.g., chief marketing officer); and executive leadership (e.g., chief executive officer). Students get ample practice in strategic interactions in relevant social and professional contexts (e.g., business meetings, team projects, and one-on-one interactions); active listening; strategic storytelling; and creating persuasive professional spoken and written messages, reports, and presentations. Throughout the course, students create and receive feedback on data storytelling while sharpening their ability to communicate complex analytics to technical and nontechnical audiences with clarity, precision, and influence.",
https://sps.columbia.edu/academics/masters/applied-analytics,Strategy and Analytics,"This course focuses on the step after insights have been generated from data, and asks the question: what needs to change in an organization's strategy to benefit from those insights? It is the second in the sequence of analytics leadership core courses. Students will learn how to evaluate the strategic environment, the strategic models that might be useful for their organization, and the implementation of a strategy. The course will also ask students to learn theory and research findings and then apply what they have learned to real situations. This will include an exercise in strategic business “wargaming.” Having developed an understanding of organizational strategy, special emphasis is then placed on the interplay between analytics and strategic considerations in an organization. The course teaches students about the practical application of analytics to strategic thinking on two levels: that of the organization (how are analytics used to drive the organization’s strategy?) and the analytics team (how is the organization’s strategy driving the activity of the analytics team?).",
https://sps.columbia.edu/academics/masters/applied-analytics,Applied Analytics Frameworks and Methods II,"Building upon the tools and foundational concepts from Frameworks and Methods I, this course introduces analytic techniques to handle less traditional forms of data, as well as more specialized analytic techniques to help organizations dig more deeply and comprehensively to create value from their data. This course covers unsupervised learning techniques, including clustering, to examine unlabeled data and also covers natural language processing procedures, such as tokenization, to analyze text data. The course further introduces neural networks and other specialized analytics frameworks. Students learn to integrate the techniques that they learned over Parts I and II of the Frameworks and Methods sequence and have the opportunity to apply these tools to real-world problems across topics or industries based on their areas of interest.",
https://sps.columbia.edu/academics/masters/applied-analytics,Managing Data,"Great managers of analytic projects are more than mere data users; they are key decision makers and strategic owners in the underlying data processes. This course provides students with foundational context for managing data so that it can be leveraged and used with confidence. Analytic teams work closely with technology partners in managing data. Languages and techniques unique to each team can impede cooperation. To bridge this gap, this course provides a broad overview of data technology concepts including database engines and associated technologies. Sound policies and procedures are also essentials to ensure high quality of data throughout the analytics lifecycle. But the challenges of putting these measures into practice are significant. There are often legacy repositories and business functions to unravel, as well as social and political barriers to overcome. Data ownership and accountability are hard to implement. Operational disruption and conflicting stakeholder requirements pose additional barriers. This course will expose students to foundational data principles, governance processes and organizational prerequisites needed to overcome challenges to ensure data quality.",
https://sps.columbia.edu/academics/masters/applied-analytics,Analytics and Leading Change,"The successful implementation of analytics depends not only on developing good insights and good strategy, but is also an exercise in managing the necessary changes. The inspiring stories about the importance of analytics today are about how what was learned through analytics was actually implemented to enable an organization to improve its operations, effectiveness, or return on investment. This course--the third in the sequence of analytics leadership core courses—is about changing the behavior and the culture of organizations, with particular emphasis on how to successfully introduce the methods and results of analytics. Students explore the motivations, obstacles and interventions of change, and learn to build alliances, facilitate difficult meetings and develop a transformation plan. The course focuses on practical skills as they are being developed at organizations with pioneering analytics capabilities today. Students will review some of the most important academic research and business publications on change management and the implementation of analytics. However, the course is also intended to enhance practical skills, so students will engage in some real-world practice and role-playing with classmates. As they master each module, students will incrementally develop a plan to introduce analytics into the organization where you currently work, or have worked, or hope to work.",
https://datascience.columbia.edu/education/programs/m-s-in-data-science/,Computer Systems for Data Science,"Students are expected to have solid programming experience in Python or with an equivalent programming language. This class is intended to be accessible for students who do not necessarily have a background in databases, operating systems or distributed systems. The goal of this class is to provide data scientists and engineers that work with big data a better understanding of the foundations of how the systems they will be using are built. It will also give them a better understanding of the real-world performance, availability and scalability challenges when using and deploying these systems at scale. In the course we will cover foundational ideas in designing these systems, while focusing on specific popular systems that students are likely to encounter at work or when doing research. ",
https://datascience.columbia.edu/education/programs/m-s-in-data-science/,Machine Learning for Data Science,"The course covers basic statistical principles of supervised machine learning, as well as some common algorithmic paradigms. Additional topics, such as representation learning and online learning, may be covered if time permits.",
https://datascience.columbia.edu/education/programs/m-s-in-data-science/,Algorithms for Data Science,,"Methods for organizing data, e.g. hashing, trees, queues, lists, priority queues. Streaming algorithms for computing statistics on the data. Sorting and searching. Basic graph models and algorithms for searching, shortest paths, and matching. Dynamic programming. Linear and convex programming. Floating point arithmetic, stability of numerical algorithms, Eigenvalues, singular values, PCA, gradient descent, stochastic gradient descent, and block coordinate descent. Conjugate gradient, Newton and quasi-Newton methods. Large scale applications from signal processing, collaborative filtering, recommendations systems, etc."
https://datascience.columbia.edu/education/programs/m-s-in-data-science/,Probability and Statistics for Data Science,,"Fundamentals of probability theory and statistical inference used in data science; Probabilistic models, random variables, useful distributions, expectations, law of large numbers, central limit theorem; Statistical inference; point and confidence interval estimation, hypothesis tests, linear regression."
https://datascience.columbia.edu/education/programs/m-s-in-data-science/,Exploratory Data Analysis and Visualization,,"Programming, fundamentals of data visualization, layered grammar of graphics, perception of discrete and continuous variables, introduction to Mondran, mosaic pots, parallel coordinate plots, introduction to ggobi, linked pots, brushing, dynamic graphics, model visualization, clustering and classification."
https://datascience.columbia.edu/education/programs/m-s-in-data-science/,Statistical Inference and Modeling,,"Course covers fundamentals of statistical inference and testing, and gives an introduction to statistical modeling. The first half of the course will be focused on inference and testing, covering topics such as maximum likelihood estimates, hypothesis testing, likelihood ratio test, Bayesian inference, etc. The second half of the course will provide introduction to statistical modeling via introductory lectures on linear regression models, generalized linear regression models, nonparametric regression, and statistical computing. Throughout the course, real-data examples will be used in lecture discussion and homework problems."
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Statistical Foundations for Analytics (R),"An introduction to statistics and the fundamental concepts of ML, including prominent methods for supervised learning, validation of models, regularization, resampling methods, and extensions of regression to logistic models.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Business Fundamentals for Analytics,"Business Fundamentals for Analytics is concerned with the application of economic, finance and marketing principles to key management decisions within organizations. It provides the analytical tools for a better understanding of the external business environment in which organizations operate. A primary purpose of the course is to develop tools and background useful for the other courses in the MSBA program.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Customer Analytics,"This course is about the accumulation, management and analysis of customer data to make better decisions. It introduces students to key analysis tools of customer level data such as clustering methods for segmentation, choice models using both stated preference data (survey/conjoint data) and behavioral data (scanner panel data, attribution data) and marketing mix models. The class uses real-world cases, exercises and projects to help students aggregate the theories, frameworks and methods they have learnt in earlier classes. In addition, the class aims to add to the students’ skill set by introducing students to sophisticated ideas and approaches to analyzing, interpreting and portraying customer and marketing data.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Python Workshop,,
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Data Management,"This course is about understanding data, data structures and the technologies that are essential to building analytic frameworks. In this course students will be exposed to various elements of an effective data management framework. The course will deal with both tactics and strategies related to managing, manipulating, storing and delivering data. There will be a number of exercises using R, Python, regular expressions, SQL, and NoSQL, which will help the student understand how to manipulate and manage data in a real world context. The course will also cover advance frameworks for distributed storage and processing, such as Hadoop and Spark.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Competitive Analytics,This is a course in applying data analytics to examine competitive conditions in an industry or market. The goal is to learn state-of-the-art practical tools that can be utilized to answer the following kinds of questions: How competitive is a given industry?,
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Optimization (Python),"The course covers a wide variety of optimization models that can be used to solve business problems. The course emphasizes mastery of spreadsheet modeling as an integral part of business analytic decision making. The managerial models covered include linear programming, network and distribution models, integer programming, and nonlinear programming. The course is interdisciplinary; problems from operations, finance, and marketing are used to achieve the course objectives. This is a hands-on course. In every class, we will work on problems and develop spreadsheet models to facilitate decision making. Optimization using R and Matlab will also be covered.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Prescriptive Models and Data Analytics,"The course will teach fundamental tools in data analytics, including experimental design and analysis, regression analysis and model design, as well how to implement these approaches using the R statistical analysis package. However, this is not a course in statistical theory or econometrics. Rather, the course has a strong practical orientation, equaling emphasizing critical thinking skills, the ability to ask the right kinds of questions for data analysis, and the creative aspects of designing a data analytics approach capable of delivering a convincing analysis that would support decision making.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Operations Analytics,"The internal operations of a firm are responsible for executing the firm's business plan to deliver its value proposition. Achieving operational excellence helps firms improve their return on assets in the short term, but also creates a knowledge base that helps building a competitive advantage in the long run. In today's globalized world, it is becoming impossible to excel operationally without the use of quantitative models and data-driven decision making. The purpose of this course is to learn how business data analytics can be used to optimize internal processes and resources. The course is based on applications and data-driven cases that illustrate quantitative techniques and show how to build an operational competitive edge based on business analytics.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,SQL & Basic Data Management,"This 2-unit course will introduce students to relational algebra, SQL, and the basic elements of data management. Students are expected to do their own coding. The course will also teach students how to use regular expressions and will help them become familiar with database terminology (e.g., schema, one-to-one, one-to-many, many-to-many).",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,Machine Learning for Decision Making (Python),"Machine Learning is a key component of business analytics. This course will offer a hands-on introduction to some important concepts of machine learning and their usage. The course will cover various theoretical aspects and algorithms, including an introduction to deep learning. The main effort will be to implement machine-learning tools in Python.",
https://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,MSBA Career Curriculum (Co-curricular),,
https://statistics.yale.edu/academics/terminal-ma-program,Probability Theory,[Group of courses to choose from],
https://statistics.yale.edu/academics/terminal-ma-program,Statistical Theory,[Group of courses to choose from],
https://statistics.yale.edu/academics/terminal-ma-program,Case Studies,"Statistical analysis of a variety of statistical problems using real data. Emphasis on methods of choosing data, acquiring data, assessing data quality, and the issues posed by extremely large data sets. Extensive computations using R.",
https://statistics.yale.edu/academics/terminal-ma-program,Methods of Data Science,[Group of courses to choose from],
https://statistics.yale.edu/academics/terminal-ma-program,Efficient computation and big data,[Group of courses to choose from],
https://dats.seas.upenn.edu/program/,Programming Languages and Techniques,[Group of courses to choose from],
https://dats.seas.upenn.edu/program/,Linear Algebra,[Group of courses to choose from],
https://dats.seas.upenn.edu/program/,Stat for Data Science,"The course covers the methodological foundations of data science, emphasizing basic concepts in statistics and learning theory, but also modern methodologies. Learning of distributions and their parameters. Testing of multiple hypotheses. Linear and nonlinear regression and prediction. Classification. Uncertainty quantification. Model validation. Clustering. Dimensionality reduction. Probably approximately correct (PAC) learning. Such theoretical concepts are further complemented by exempla r applications, case studies (datasets), and programming exercises (in Python) drawn from electrical engineering, computer science, the life sciences, finance, and social networks.",
https://dats.seas.upenn.edu/program/,Big Data Analytics,"In the new era of big data, we are increasingly faced with the challenges of processing vast volumes of data. Given the limits of individual machines (compute power, memory, bandwidth), increasingly the solution is to process the data in parallel on many machines. This course focuses on the fundamentals of scaling computation to handle common data analytics tasks. You will learn about basic tasks in collecting, wrangling, and structuring data; programming models for performing certain kinds of computation in a scalable way across many compute nodes; common approaches to converting algorithms to such programming models; standard toolkits for data analysis consisting of a wide variety of primitives; and popular distributed frameworks for analytics tasks such as filtering, graph analysis, clustering, and classification.",
https://dats.seas.upenn.edu/program/,Data Mining and Learning,[Group of courses to choose from],
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Data for Equitable Justice Lab,"Data for Equitable Justice Lab is a non-credit research group that gives SP2 Masters students an opportunity to analyze some of today's most important social issues through data and, with faculty support, create a product for audiences well beyond our classrooms and campus. With guidance from the lab faculty, students develop a project - etither individually or as part of a team - to examine a contemporary social policy or political issue through or on data or digital technology. Through these projects students will produce an op-ed, bolg post, podcast, academic article, short film, or other product of their choosing that creates or contributes to contemporary discourse.",
