title,degree,school,location,price,duration,selected
Analytics,M.Sc.,"Kogod School of Business, American University Washington DC","Washington, D. C., Washington, D.C., United States","1,481 EUR / credit",1 year,
Masters in Business Analytics,M.Sc.,Hult International Business School,"San Francisco, California, United States","38,827 EUR / year",1 year,
Customer Intelligence and Analytics,M.Sc.,Pace University,"New York City, New York, United States","1,099 EUR / credit",1 year,
Data Science,Full-time,University of Maryland Baltimore County (UMBC),"Baltimore Highlands, Maryland, United States",925 EUR / credit,1 year,
Data Science,M.Sc.,South Dakota State University,"Brookings, South Dakota, United States",530 EUR / credit,2 years,
Data Science,M.Sc.,University of Michigan - Dearborn,"Dearborn, Michigan, United States","1,175 EUR / credit",1 year,
Statistics and Data Science,M.Sc.,University of Arizona,"Tucson, Arizona, United States","16,451 EUR / year",1 year,
Engineering Sciences (Data Sciences),M.Sc.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,
Engineering Sciences (Artificial Intelligence),M.Sc.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,
Economic Data Analytics,M.Sc.,The University of Texas at Arlington,"Texas City, Texas, United States","18,900 EUR / year",1 year,
Computer Science - Big Data Systems,Full-time,Arizona State University,"Tempe Junction, Arizona, United States","20,599 EUR / year",1 year,
Education Data Science,M.Sc.,Stanford University,"Stanford, California, United States","29,598 EUR / year",2 years,
Data Analytics,M.Sc.,Davenport University,"Caledonia, Wisconsin, United States","8,553 EUR / year",1 year,
Data Science for Public Policy,Full-time,Georgetown University,"Washington, D. C., Washington, D.C., United States","39,360 EUR / year",2 years,
Data Science and Analytics with Emphasis in BioHealth Analytics,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,
Applied Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",2 years,
Statistics,M.Sc.,Florida State University,"Tallahassee, Florida, United States",907 EUR / credit,2 years,
