title,degree,school,location,price,duration,label
Analytics,M.Sc.,"Kogod School of Business, American University Washington DC","Washington, D. C., Washington, D.C., United States","1,481 EUR / credit",1 year,M.Sc. Full-time Part-time
Masters in Business Analytics,M.Sc.,Hult International Business School,"San Francisco, California, United States","38,827 EUR / year",1 year,M.Sc. Full-time Part-time
Computer Science,M.Sc.,University of Missouri–St. Louis,"Saint Louis, Missouri, United States","18,226 EUR / year",1½ years,M.Sc. Full-time
Computer Science - Data Science,M.Sc.,Contemporary Technology University,Online,"4,904 EUR / year",1 year,M.Sc. Full-time Part-time Blended Learning
Customer Intelligence and Analytics,M.Sc.,Pace University,"New York City, New York, United States","1,099 EUR / credit",1 year,M.Sc. Full-time
Data Science,Full-time,University of Maryland Baltimore County (UMBC),"Baltimore Highlands, Maryland, United States",925 EUR / credit,1 year,Full-time
Data Science,M.Sc.,South Dakota State University,"Brookings, South Dakota, United States",530 EUR / credit,2 years,M.Sc. Full-time Blended Learning
UX Design,M.Sc.,Hussian College Los Angeles,"Los Angeles, California, United States","8,364 EUR / year",2 years,M.Sc. Full-time
Data Science,M.Sc.,University of Michigan - Dearborn,"Dearborn, Michigan, United States","1,175 EUR / credit",1 year,M.Sc. Full-time Blended Learning
Statistics and Data Science,M.Sc.,University of Arizona,"Tucson, Arizona, United States","16,451 EUR / year",1 year,M.Sc. Full-time
Computer Networking,M.Sc.,Wichita State University,"Wichita, Kansas, United States",618 EUR / credit,1 year,M.Sc. Full-time
Engineering Sciences (Data Sciences),M.Sc.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,M.Sc. Full-time Part-time
Engineering Sciences (Artificial Intelligence),M.Sc.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,M.Sc. Full-time Part-time
Economic Data Analytics,M.Sc.,The University of Texas at Arlington,"Texas City, Texas, United States","18,900 EUR / year",1 year,M.Sc. Full-time
Computer Science - Big Data Systems,Full-time,Arizona State University,"Tempe Junction, Arizona, United States","20,599 EUR / year",1 year,Full-time
Hydrographic Science,M.Sc.,University of Southern Mississippi,"West Hattiesburg, Mississippi, United States",399 EUR / credit,2 years,M.Sc. Full-time
Education Data Science,M.Sc.,Stanford University,"Stanford, California, United States","29,598 EUR / year",2 years,M.Sc. Full-time
Data Analytics,M.Sc.,Davenport University,"Caledonia, Wisconsin, United States","8,553 EUR / year",1 year,M.Sc. Full-time
Data Science for Public Policy,Full-time,Georgetown University,"Washington, D. C., Washington, D.C., United States","39,360 EUR / year",2 years,Full-time
Data Science and Analytics with Emphasis in BioHealth Analytics,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,M.Sc. Full-time Blended Learning
Information Technology,M.Sc.,Northwestern University,"Evanston, Illinois, United States","28,833 EUR / year",1 year,M.Sc. Full-time Part-time
Applied Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",2 years,M.Sc. Full-time Online
Statistics,M.Sc.,Florida State University,"Tallahassee, Florida, United States",907 EUR / credit,2 years,M.Sc. Full-time
Accounting with Emphasis in Data and Analytics,Full-time,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1 year,Full-time
Analytics,M.Sc.,University of Chicago,"Chicago, Illinois, United States","4,058 EUR / module",1½ years,M.Sc. Full-time Part-time
